year,centre_code,centre_name,ownership,address,postal_code,municipality_code,municipality,county,utm_x,utm_y,longitude,latitude,source_url
2025,43000251,Escola La Portalada,Departament d'Educació i Formació Professional,"c. Portalada, 7",43893,430120,Altafulla,Tarragonès,363049,4555740,1.368133,41.14142,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43007488,Llar d'infants Francesc Blanch i Ribé,Corporacions Locals,"c. de la Mainada, s/n",43893,430120,Altafulla,Tarragonès,363535,4555714,1.373927,41.14127,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43009977,Institut d'Altafulla,Departament d'Educació i Formació Professional,"c. Camí de l'Oliverot, s/n",43893,430120,Altafulla,Tarragonès,363940,4556286,1.378628,41.14649,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43010402,Escola El Roquissar,Departament d'Educació i Formació Professional,"c. Roquissar, 8",43893,430120,Altafulla,Tarragonès,363778,4556341,1.376687,41.14695,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43011297,Llar d'infants Hort de Pau,Corporacions Locals,c. de la Cabana-Sector PP5 l'Hort de Pau,43893,430120,Altafulla,Tarragonès,363666,4555332,1.375573,41.13785,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43011674,Esc. de Música Municipal d'Altafulla,Corporacions Locals,"c. Sant Antoni Abat, 11-13",43893,430120,Altafulla,Tarragonès,363639,4555629,1.375191,41.14052,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43010499,CFA Pau Casals,Departament d'Educació i Formació Professional,"Trav. Comella Moro, 15 (CP Mas Enric)",43764,430430,El Catllar,Tarragonès,356456.5,4557130,1.289289,41.152,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43011261,Llar d'infants L'Agulla del Catllar,Corporacions Locals,"c. de França, s/n",43764,430430,El Catllar,Tarragonès,359487,4559514,1.324847,41.17479,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43012745,The British School of Costa Daurada,Societats Mercantils,"c. del Mas de la Creu, 4",43764,430430,El Catllar,Tarragonès,358570,4556985,1.314458,41.15192,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43012812,Institut Escola L'Agulla,Departament d'Educació i Formació Professional,"av. Catalunya, 3",43764,430430,El Catllar,Tarragonès,359908,4559551,1.329858,41.1752,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
