course,year,centre_code,centre_name,nature,municipality_code,municipality,county
2020/2021,2020,43000251,Escola La Portalada,Públic,430120,Altafulla,Tarragonès
2020/2021,2020,43007488,Llar d'infants Francesc Blanch i Ribé,Públic,430120,Altafulla,Tarragonès
2020/2021,2020,43009977,Institut d'Altafulla,Públic,430120,Altafulla,Tarragonès
2020/2021,2020,43010402,Escola El Roquissar,Públic,430120,Altafulla,Tarragonès
2020/2021,2020,43011297,Llar d'infants Hort de Pau,Públic,430120,Altafulla,Tarragonès
2020/2021,2020,43011674,Esc. de Música Municipal d'Altafulla,Públic,430120,Altafulla,Tarragonès
2020/2021,2020,43010499,CFA Pau Casals,Públic,430430,El Catllar,Tarragonès
2020/2021,2020,43011261,Llar d'infants L'Agulla del Catllar,Públic,430430,El Catllar,Tarragonès
2020/2021,2020,43012745,Jigsaw British School,Privat,430430,El Catllar,Tarragonès
2020/2021,2020,43012812,Institut Escola L'Agulla,Públic,430430,El Catllar,Tarragonès
2020/2021,2020,43000895,Escola Mossèn Ramon Bergadà,Públic,430477,Constantí,Tarragonès
2020/2021,2020,43000949,Escola agrària Mas Bové,Públic,430477,Constantí,Tarragonès
2020/2021,2020,43005893,Escola Centcelles,Públic,430477,Constantí,Tarragonès
2020/2021,2020,43007646,Institut de Constantí,Públic,430477,Constantí,Tarragonès
2020/2021,2020,43010451,Llar d'infants Gu-gu,Públic,430477,Constantí,Tarragonès
2020/2021,2020,43005364,Escola Les Eres,Públic,430509,Creixell,Tarragonès
2020/2021,2020,43009667,Llar d'infants Municipal de Creixell,Públic,430509,Creixell,Tarragonès
2020/2021,2020,43011649,Llar d'infants Nova Guarderia,Públic,430509,Creixell,Tarragonès
2020/2021,2020,43012241,Escola Bressol L'Estel de Mar,Públic,430509,Creixell,Tarragonès
2020/2021,2020,43001735,Escola Ventura Gassol,Públic,430957,El Morell,Tarragonès
2020/2021,2020,43008407,Institut El Morell,Públic,430957,El Morell,Tarragonès
2020/2021,2020,43009931,Llar d'infants del Morell,Públic,430957,El Morell,Tarragonès
2020/2021,2020,43012231,Esc. de Música Municipal El Morell,Públic,430957,El Morell,Tarragonès
2020/2021,2020,43005467,Escola Les Codinetes,Públic,430976,La Nou de Gaià,Tarragonès
2020/2021,2020,43011042,Llar d'infants La Palmera,Públic,430976,La Nou de Gaià,Tarragonès
2020/2021,2020,43001826,Escola Sant Sebastià,Públic,431009,Els Pallaresos,Tarragonès
2020/2021,2020,43009564,LLI privada Can Petits,Privat,431009,Els Pallaresos,Tarragonès
2020/2021,2020,43010591,Escola Arquitecte Jujol,Públic,431009,Els Pallaresos,Tarragonès
2020/2021,2020,43010748,Institut Els Pallaresos,Públic,431009,Els Pallaresos,Tarragonès
2020/2021,2020,43012563,Escola Bressol Els Pallaresos,Públic,431009,Els Pallaresos,Tarragonès
2020/2021,2020,43007476,Llar d'infants Perafort,Públic,431037,Perafort,Tarragonès
2020/2021,2020,43009886,Escola Josep Veciana,Públic,431037,Perafort,Tarragonès
2020/2021,2020,43005480,Escola Mare de Déu del Lledó,Públic,431093,La Pobla de Mafumet,Tarragonès
2020/2021,2020,43008936,Llar d'infants L'Esquirol,Públic,431093,La Pobla de Mafumet,Tarragonès
2020/2021,2020,43012186,Llar d'infants Nou Esquirol,Públic,431093,La Pobla de Mafumet,Tarragonès
2020/2021,2020,43012885,CENAFE La Pobla de Mafumet,Privat,431093,La Pobla de Mafumet,Tarragonès
2020/2021,2020,43005145,Escola Els Ametllers,Públic,431114,La Pobla de Montornès,Tarragonès
2020/2021,2020,43010271,Llar d'infants Sol Solet,Públic,431114,La Pobla de Montornès,Tarragonès
2020/2021,2020,43005157,Escola Montoliu,Públic,431264,La Riera de Gaià,Tarragonès
2020/2021,2020,43010049,Llar d'infants Les Monges,Públic,431264,La Riera de Gaià,Tarragonès
2020/2021,2020,43002776,Escola Salvador Espriu,Públic,431310,Roda de Berà,Tarragonès
2020/2021,2020,43009928,Llar d'infants Els Petitons,Públic,431310,Roda de Berà,Tarragonès
2020/2021,2020,43011194,Escola El Cucurull,Públic,431310,Roda de Berà,Tarragonès
2020/2021,2020,43011418,Institut Roda de Berà,Públic,431310,Roda de Berà,Tarragonès
2020/2021,2020,43005662,Escola Josep Nin,Públic,431359,Salomó,Tarragonès
2020/2021,2020,43012678,Llar d'infants El Til·ler,Públic,431359,Salomó,Tarragonès
2020/2021,2020,43003082,Escola Guillem de Claramunt,Públic,431444,La Secuita,Tarragonès
2020/2021,2020,43012770,Escola Bressol Municipal els Guillemets,Públic,431444,La Secuita,Tarragonès
2020/2021,2020,43003136,Escola Bonavista,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003151,Joan XXIII,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003227,Escola Sant Salvador,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003306,Escola Serrallo,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003321,Escola Sant Pere i Sant Pau,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003410,Joan Roig,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003461,Tic-Tac,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003483,Lestonnac-l'Ensenyança,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003495,Mare de Déu del Carme,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003501,El Carme,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003525,Dominiques Tarragona,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003537,La Salle,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003549,Vedruna Sagrat Cor Tarragona,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003550,Santa Teresa de Jesús,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003586,Sant Pau Apòstol,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003616,CEE San Rafael,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003631,Estela,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003641,Institut Antoni de Martí i Franquès,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003653,Institut Comte de Rius,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003690,Escola de Pràctiques,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003707,Mare Nostrum,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003719,Espallargas,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003720,Escola El Miracle,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003732,Institut Pons d'Icart,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003756,Escola Torreforta,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003768,Escola Els Àngels,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43003793,La Salle Torreforta,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43005169,Escola Pau Delclòs,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43005170,Escola La Floresta,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43005686,Escola Riu Clar,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43005704,Institut Francesc Vidal i Barraquer,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43005731,La Muntanyeta,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43005911,Escola Campclar,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43005959,Escola Cèsar August,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43006125,Institut Campclar,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43006162,Solc,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43006253,EASD de Tarragona,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43006265,Escola de Dansa Artemis,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43006277,Cons. de Música de Tarragona,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43006563,Escola Marcel·lí Domingo,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43006630,Institut Pere Martell,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43006940,EOI de Tarragona,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43007051,CFA Josepa Massanés i Dalmau,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43007117,Escola Pax,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43007713,Llar d'infants El Ninot,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43007725,Llar d'infants La Taronja,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43007853,Llar d'infants La Baldufa,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43007981,Bao Bab,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43008390,Institut Torreforta,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43008432,Institut Sant Pere i Sant Pau,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43008501,Institut Pont del Diable,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43008560,Àngel de la Guarda,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43008687,LLI privada Yo-Ni,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43008729,CFA Tarragona,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43008766,Esc. de Música Municipal,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43008778,CFA Fòrum,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43008791,Esc. de Música de la Diputació de Tarragona,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43008997,LLI privada El Niuet,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43009175,L'Alba i La Cigonya,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43009230,Escola Tarragona,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43009369,Escola Saavedra,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43009448,Cent.Prof.Dansa Artemis,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43009539,LLI privada Baobad-rosa,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43009576,Esc. de Música Estudi de Música,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43009722,Institut Cal·lípolis,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43010256,Llar d'infants El Serrallo,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43010281,LLI privada El Bosquet,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43010396,Escola de Ponent,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43010438,Llar d'infants El Miracle,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43010700,CASASFORMACIÓN.ES,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43010876,Escola l'Arrabassada,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43010955,Llar d'infants Sant Pere i Sant Pau,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43010979,Llar d'infants Sant Salvador,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43011479,Institut Tarragona,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43011561,Llar d'infants L'Arrabassada,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43012125,Novatècnica,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43012162,Llar d'infants Bonavista,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43012216,Llar d'infants Cèsar August,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43012447,Bettatur,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43012629,Aula Magna,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43012642,LLI privada Xino-Xano Joan XXIII,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43012708,CEOP,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43012897,AFENTD,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43012939,Òrgan Gestor del Complex Educatiu de Tarragona,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43012976,Institut Escola Mediterrani,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43013002,A. Hospitalària H.de dia salut mental infanto juvenil deTarragona,Públic,431482,Tarragona,Tarragonès
2020/2021,2020,43013063,LLI privada Teresianes-Jaycar,Privat,431482,Tarragona,Tarragonès
2020/2021,2020,43003884,Escola Antoni Roig,Públic,431536,Torredembarra,Tarragonès
2020/2021,2020,43006851,Escola Molí de Vent,Públic,431536,Torredembarra,Tarragonès
2020/2021,2020,43006952,Institut Torredembarra,Públic,431536,Torredembarra,Tarragonès
2020/2021,2020,43007661,Institut Ramon de la Torre,Públic,431536,Torredembarra,Tarragonès
2020/2021,2020,43009242,Escola L'Antina,Públic,431536,Torredembarra,Tarragonès
2020/2021,2020,43009643,Llar d'infants El Cirerer,Públic,431536,Torredembarra,Tarragonès
2020/2021,2020,43009746,Esc. de Música Municipal de Torredembarra,Públic,431536,Torredembarra,Tarragonès
2020/2021,2020,43010918,Escola de Dansa Centrescènic,Privat,431536,Torredembarra,Tarragonès
