year,centre_code,centre_name,ownership,address,postal_code,municipality_code,municipality,county,utm_x,utm_y,longitude,latitude,source_url
2025,43004979,Escola Torroja i Miret,Departament d'Educació i Formació Professional,"c. Tarragona, 9",43480,431711,Vila-seca,Tarragonès,344484,4552650,1.147806,41.11026,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43005005,Escola Sant Bernat Calvó,Departament d'Educació i Formació Professional,"c. Requet de Fèlix, 22",43480,431711,Vila-seca,Tarragonès,344491,4552805,1.147857,41.11165,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43005947,Escola Cal·lípolis,Departament d'Educació i Formació Professional,"c. Alfredo Kraus, 22",43481,431711,Vila-seca,Tarragonès,347047,4549361,1.179142,41.08113,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43005972,Institut Ramon Barbat i Miracle,Departament d'Educació i Formació Professional,"av. de l'Alcalde Pere Molas, s/n",43480,431711,Vila-seca,Tarragonès,344654,4551674,1.150076,41.101,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43006241,Escola La Plana,Departament d'Educació i Formació Professional,"Camí Mas de la Cuca, s/n",43480,431711,Vila-seca,Tarragonès,342825,4554816,1.127501,41.12943,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43006289,Cons. de Música de Vila-seca,Corporacions Locals,"av. de la Generalitat, 27",43480,431711,Vila-seca,Tarragonès,343937,4552851,1.141248,41.1119,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43006332,Escola Mestral,Departament d'Educació i Formació Professional,"c. Santiago Rusiñol, s/n",43480,431711,Vila-seca,Tarragonès,343829,4552720,1.139988,41.11076,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43008158,LLI privada Pineda,Cooperatives,"c. Jacint Verdaguer, 6",43480,431711,Vila-seca,Tarragonès,343921,4552494,1.141144,41.10874,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43008523,Institut Vila-seca,Departament d'Educació i Formació Professional,"av. de l'Alcalde Pere Molas, s/n",43480,431711,Vila-seca,Tarragonès,344618,4551851,1.149601,41.10308,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43008742,Esc. de Música Municipal de Vila-seca,Corporacions Locals,"av. de la Generalitat, 27",43480,431711,Vila-seca,Tarragonès,343933,4552846,1.141205,41.11192,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
