mun_code,municipality,county_code,year,population_total,population_65_plus,population_65_plus_pct,housing_total,housing_non_main,housing_non_main_pct,indicator_status
430120,Altafulla,36,2021,5496,1007,18.3224163027657,4851,2689,55.431869717584,ok
430430,"Catllar, el",36,2021,4749,703,14.8031164455675,2725,981,36,ok
430477,Constantí,36,2021,6761,1008,14.9090371246857,3232,796,24.6287128712871,ok
430509,Creixell,36,2021,3901,907,23.2504486029223,4049,2422,59.8172388244011,ok
430957,"Morell, el",36,2021,3727,493,13.2277971558895,1728,355,20.5439814814815,ok
430976,"Nou de Gaià, la",36,2021,617,103,16.6936790923825,288,68,23.6111111111111,ok
431009,"Pallaresos, els",36,2021,4874,552,11.3254000820681,1932,309,15.9937888198758,ok
431037,Perafort,36,2021,1287,154,11.965811965812,572,105,18.3566433566434,ok
431093,"Pobla de Mafumet, la",36,2021,4044,332,8.20969337289812,1615,195,12.0743034055728,ok
431114,"Pobla de Montornès, la",36,2021,3002,602,20.0532978014657,2155,915,42.4593967517401,ok
431227,Renau,36,2021,156,13,8.33333333333333,79,22,27.8481012658228,ok
431264,"Riera de Gaià, la",36,2021,1745,271,15.5300859598854,869,246,28.3084004602992,ok
431310,Roda de Berà,36,2021,7154,1541,21.5403969807101,8762,5673,64.7454918968272,ok
431359,Salomó,36,2021,542,107,19.7416974169742,353,138,39.0934844192635,ok
431444,"Secuita, la",36,2021,1728,277,16.0300925925926,981,330,33.6391437308869,ok
431482,Tarragona,36,2021,136150,25401,18.6566287183254,67200,13649,20.3110119047619,ok
431536,Torredembarra,36,2021,17023,3363,19.7556247429948,14553,7599,52.2160379303236,ok
431649,Vespella de Gaià,36,2021,459,105,22.8758169934641,433,239,55.1963048498845,ok
431665,Vilallonga del Camp,36,2021,2387,341,14.2857142857143,1189,292,24.5584524810765,ok
431711,Vila-seca,36,2021,22781,3300,14.4857556735876,17417,8692,49.9052649710053,ok
439057,Salou,36,2021,28314,3815,13.4738998375362,31523,19884,63.0777527519589,ok
439076,"Canonja, la",36,2021,5971,957,16.0274660860827,2673,506,18.9300411522634,ok
