registration_number,establishment_type,public_name,address_input,postal_code,municipality_code,municipality,county_code,county,category,registered_places,geocode_status,matched_address,longitude,latitude,utm_x,utm_y,source_url
ATT-000008,Apartaments Turístics,Soifler S.L,Carrer Amadeu Vives 32 43481 Vila-seca,43481,431711,Vila-seca,36,Tarragonès,Sense categoritzar,248,PENDING,,,,,,https://analisi.transparenciacatalunya.cat/resource/t2h3-cgys.csv?%24where=municipi%3D%27Vila-seca%27+AND+tipus_establiment+NOT+IN+%28%27Habitatges+d%27%27%C3%BAs+tur%C3%ADstic%27%2C%27Llars+compartides%27%29&%24limit=50000&%24order=tipus_establiment%2Cn_mero_inscripci
ATT-000301,Apartaments Turístics,CASA YAYA,Carrer Nou 11 43481 Vila-seca,43481,431711,Vila-seca,36,Tarragonès,Sense categoritzar,18,PENDING,,,,,,https://analisi.transparenciacatalunya.cat/resource/t2h3-cgys.csv?%24where=municipi%3D%27Vila-seca%27+AND+tipus_establiment+NOT+IN+%28%27Habitatges+d%27%27%C3%BAs+tur%C3%ADstic%27%2C%27Llars+compartides%27%29&%24limit=50000&%24order=tipus_establiment%2Cn_mero_inscripci
AAT-000010,Autocaravanes,PARKING CARAVANING PORTAVENTURA WORLD,Avinguda Alcalde Pere Moles km 2 2 43480 Vila-seca,43480,431711,Vila-seca,36,Tarragonès,Sense categoritzar,100,PENDING,,,,,,https://analisi.transparenciacatalunya.cat/resource/t2h3-cgys.csv?%24where=municipi%3D%27Vila-seca%27+AND+tipus_establiment+NOT+IN+%28%27Habitatges+d%27%27%C3%BAs+tur%C3%ADstic%27%2C%27Llars+compartides%27%29&%24limit=50000&%24order=tipus_establiment%2Cn_mero_inscripci
KT-000085,Càmpings,La Pineda,Carretera Tarragona-Salou KM 5 43481 Vila-seca,43481,431711,Vila-seca,36,Tarragonès,3 estrelles,1008,PENDING,,,,,,https://analisi.transparenciacatalunya.cat/resource/t2h3-cgys.csv?%24where=municipi%3D%27Vila-seca%27+AND+tipus_establiment+NOT+IN+%28%27Habitatges+d%27%27%C3%BAs+tur%C3%ADstic%27%2C%27Llars+compartides%27%29&%24limit=50000&%24order=tipus_establiment%2Cn_mero_inscripci
HT-000067,Hotels,Salvado,Plaça l'Església 18 43480 Vila-seca,43480,431711,Vila-seca,36,Tarragonès,No aplica,38,PENDING,,,,,,https://analisi.transparenciacatalunya.cat/resource/t2h3-cgys.csv?%24where=municipi%3D%27Vila-seca%27+AND+tipus_establiment+NOT+IN+%28%27Habitatges+d%27%27%C3%BAs+tur%C3%ADstic%27%2C%27Llars+compartides%27%29&%24limit=50000&%24order=tipus_establiment%2Cn_mero_inscripci
HT-000174,Hotels,4 Carreteres,"Carretera N-340 KM 269,8 43480 Vila-seca",43480,431711,Vila-seca,36,Tarragonès,1 estrella,42,PENDING,,,,,,https://analisi.transparenciacatalunya.cat/resource/t2h3-cgys.csv?%24where=municipi%3D%27Vila-seca%27+AND+tipus_establiment+NOT+IN+%28%27Habitatges+d%27%27%C3%BAs+tur%C3%ADstic%27%2C%27Llars+compartides%27%29&%24limit=50000&%24order=tipus_establiment%2Cn_mero_inscripci
HT-000308,Hotels,Terramarina,Avinguda Pau Casals 108 43480 Vila-seca,43480,431711,Vila-seca,36,Tarragonès,4 estrelles superior,203,PENDING,,,,,,https://analisi.transparenciacatalunya.cat/resource/t2h3-cgys.csv?%24where=municipi%3D%27Vila-seca%27+AND+tipus_establiment+NOT+IN+%28%27Habitatges+d%27%27%C3%BAs+tur%C3%ADstic%27%2C%27Llars+compartides%27%29&%24limit=50000&%24order=tipus_establiment%2Cn_mero_inscripci
HT-000388,Hotels,Golden Donaire Beach,Carrer Vaporet 1 43481 Vila-seca,43481,431711,Vila-seca,36,Tarragonès,4 estrelles superior,752,PENDING,,,,,,https://analisi.transparenciacatalunya.cat/resource/t2h3-cgys.csv?%24where=municipi%3D%27Vila-seca%27+AND+tipus_establiment+NOT+IN+%28%27Habitatges+d%27%27%C3%BAs+tur%C3%ADstic%27%2C%27Llars+compartides%27%29&%24limit=50000&%24order=tipus_establiment%2Cn_mero_inscripci
HT-000669,Hotels,ESTIVALPARK SALOU,Camí del Racó 15-17-19 43481 Vila-seca,43481,431711,Vila-seca,36,Tarragonès,4 estrelles superior,1878,PENDING,,,,,,https://analisi.transparenciacatalunya.cat/resource/t2h3-cgys.csv?%24where=municipi%3D%27Vila-seca%27+AND+tipus_establiment+NOT+IN+%28%27Habitatges+d%27%27%C3%BAs+tur%C3%ADstic%27%2C%27Llars+compartides%27%29&%24limit=50000&%24order=tipus_establiment%2Cn_mero_inscripci
HT-000739,Hotels,Palas Pineda,Carrer Muntanyals s/n 43480 Vila-seca,43480,431711,Vila-seca,36,Tarragonès,4 estrelles superior,982,PENDING,,,,,,https://analisi.transparenciacatalunya.cat/resource/t2h3-cgys.csv?%24where=municipi%3D%27Vila-seca%27+AND+tipus_establiment+NOT+IN+%28%27Habitatges+d%27%27%C3%BAs+tur%C3%ADstic%27%2C%27Llars+compartides%27%29&%24limit=50000&%24order=tipus_establiment%2Cn_mero_inscripci
