"tipus_establiment","n_mero_inscripci","d_git_de_control","r_tol","estat","tipus_de_via","nom_de_la_via","numero","pis","porta","escala","bloc","codi_postal","municipi","codi_municipi_idescat","comarca","codi_comarca_idescat","prov_ncia","referencia_cadastral","cedula_d_habitabilitat","grup","modalitat","categoria","unitat_d_allotjament","total_places","total_estances","sstt","marca_tur_stica","cif","ra_social_del_titular","nom_del_titular","primer_cognom","segon_cognom"
"Apartaments Turístics","ATT-000008","23","Soifler S.L","Alta","Carrer","Amadeu Vives","32",,,,,"43481","Vila-seca","431711","Tarragonès","36","Tarragona",,"No aplica",,,"Sense categoritzar","Apartaments","248","62","Tarragona","Costa Daurada","B58772922","SOIFLER SOCIEDAD LIMITADA","No aplica","No aplica","No aplica"
"Apartaments Turístics","ATT-000301","75","CASA YAYA","Alta","Carrer","Nou","11",,,,,"43481","Vila-seca","431711","Tarragonès","36","Tarragona",,"No aplica",,,"Sense categoritzar","Apartaments","18","3","Tarragona","Costa Daurada","No aplica","No aplica","FERMIN","VALLVE","MARTINEZ"
"Autocaravanes","AAT-000010","69","PARKING CARAVANING PORTAVENTURA WORLD","Alta","Avinguda","Alcalde Pere Moles km 2","2",,,,,"43480","Vila-seca","431711","Tarragonès","36","Tarragona","5810406CF4551B0001GT","No aplica",,,"Sense categoritzar","Parcel·les","100",,"Tarragona","Costa Daurada","A63776306","PORT AVENTURA ENTERTAINMENT SAU","No aplica","No aplica","No aplica"
"Càmpings","KT-000085","84","La Pineda","Alta","Carretera","Tarragona-Salou","KM 5",,,,,"43481","Vila-seca","431711","Tarragonès","36","Tarragona",,"No aplica",,,"3 estrelles","Unitats d'acampada","1008","336","Tarragona","Costa Daurada","A08219735","GAMITE, SA","No aplica","No aplica","No aplica"
"Hotels","HT-000067","61","Salvado","Alta","Plaça","l'Església","18",,,,,"43480","Vila-seca","431711","Tarragonès","36","Tarragona",,"No aplica","Hostal o pensió","No aplica","No aplica","Habitació","38","20","Tarragona","Costa Daurada","No aplica","No aplica","Jose Antonio","Salvado","Hervas"
"Hotels","HT-000174","39","4 Carreteres","Alta","Carretera","N-340","KM 269,8",,,,,"43480","Vila-seca","431711","Tarragonès","36","Tarragona",,"No aplica","Hotel","Hotel","1 estrella","Habitació","42","24","Tarragona","Costa Daurada","B43612787","HOSTELERIES C'AN DAVID, S.L.","No aplica","No aplica","No aplica"
"Hotels","HT-000308","57","Terramarina","Alta","Avinguda","Pau Casals","108",,,,,"43480","Vila-seca","431711","Tarragonès","36","Tarragona",,"No aplica","Hotel","Hotel","4 estrelles superior","Habitació","203","102","Tarragona","Costa Daurada","B60691730","PIVISE, SL","No aplica","No aplica","No aplica"
"Hotels","HT-000388","40","Golden Donaire Beach","Alta","Carrer","Vaporet","1",,,,,"43481","Vila-seca","431711","Tarragonès","36","Tarragona",,"No aplica","Hotel","Hotel","4 estrelles superior","Habitació","752","354","Tarragona","Costa Daurada","A08225179","PROHOTELES SALOU SA","No aplica","No aplica","No aplica"
"Hotels","HT-000669","57","ESTIVALPARK SALOU","Alta","Camí","del Racó","15-17-19",,,,,"43481","Vila-seca","431711","Tarragonès","36","Tarragona",,"No aplica","Hotel","Hotel","4 estrelles superior","Habitació","1878","939","Tarragona","Costa Daurada","A58407115","ESTIVALPARK SALOU SA","No aplica","No aplica","No aplica"
"Hotels","HT-000739","71","Palas Pineda","Alta","Carrer","Muntanyals","s/n",,,,,"43480","Vila-seca","431711","Tarragonès","36","Tarragona",,"No aplica","Hotel","Hotel","4 estrelles superior","Habitació","982","482","Tarragona","Costa Daurada","B43069889","INSAGRA UNO SL","No aplica","No aplica","No aplica"
"Hotels","HT-000760","52","Hotel PortAventura by PortAventura World","Alta","Avinguda","Pere Molas, km 2","s/n",,,,,"43480","Vila-seca","431711","Tarragonès","36","Tarragona",,"No aplica","Hotel","Hotel","4 estrelles","Habitació","1000","500","Tarragona","Costa Daurada","A63776306","PORT AVENTURA ENTERTAINMENT SAU","No aplica","No aplica","No aplica"
"Hotels","HT-000777","60","Gran Hotel La Hacienda","Alta","Plaça","Unió Europea","1",,,,,"43481","Vila-seca","431711","Tarragonès","36","Tarragona",,"No aplica","Hotel","Hotel","4 estrelles superior","Habitació","520","260","Tarragona","Costa Daurada","B43993203","GESMARE COSTA DORADA, SL","No aplica","No aplica","No aplica"
