"curs","any","codi_centre","denominaci_completa","codi_naturalesa","nom_naturalesa","codi_titularitat","nom_titularitat","adre_a","codi_postal","tel_fon","codi_delegaci","nom_delegaci","codi_comarca","nom_comarca","codi_municipi","codi_municipi_6","nom_municipi","codi_districte_municipal","nom_dm","codi_localitat","nom_localitat","coordenades_utm_x","coordenades_utm_y","coordenades_geo_x","coordenades_geo_y","e_mail_centre","url","imatge","einf1c","einf2c","epri","eso","batx","aa01","cfpm","ppas","aa03","cfps","ee","ife","pfi","pa01","cfam","pa02","cfas","esdi","escm","escs","adr","crbc","idi","dane","danp","dans","muse","musp","muss","tegm","tegs","estr","adults","geo_1"
"2020/2021","2020","43000251","Escola La Portalada","1","Públic","01","Departament d'Educació","c. Portalada, 7","43893","977650323","0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","311406.405","4552438.417","0.754184001","41.101349624","e3000251@xtec.cat","http://e3000251.wixsite.com/escolalaportalada",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (754184001 41101349624)"
"2020/2021","2020","43007488","Llar d'infants Francesc Blanch i Ribé","1","Públic","04","Corporacions Locals","c. de la Mainada, s/n","43893","977650008","0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","352445.488","4558311.844","1.241224083","41.162721690","e3007488@xtec.cat","http://www.xtec.cat/centres/e3007488",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1241224083 41162721690)"
"2020/2021","2020","43009977","Institut d'Altafulla","1","Públic","01","Departament d'Educació","c. Camí de l'Oliverot, s/n","43893","977651662","0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","340586.014","4549281.632","1.102280760","41.079177135","e3009977@xtec.cat","https://agora.xtec.cat/insaltafulla",,,,,"ESO","BATX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1102280760 41079177135)"
"2020/2021","2020","43010402","Escola El Roquissar","1","Públic","01","Departament d'Educació","c. Roquissar, 8","43893","977651969","0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","352453.578","4558128.126","1.241364707","41.161069007","e3010402@xtec.cat","http://agora.xtec.cat/escolaelroquissar/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1241364707 41161069007)"
"2020/2021","2020","43011297","Llar d'infants Hort de Pau","1","Públic","04","Corporacions Locals","c. de la Cabana-Sector PP5 l'Hort de Pau","43893",,"0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","307026.421","4527331.626","0.709901816","40.874334604","e3011297@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (709901816 40874334604)"
"2020/2021","2020","43011674","Esc. de Música Municipal d'Altafulla","1","Públic","04","Corporacions Locals","c. Sant Antoni Abat, 11-13","43893",,"0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","382131.345","4565083.294","1.593645122","41.228559198","e3011674@xtec.cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUSE",,,,,,,"POINT (1593645122 41228559198)"
"2020/2021","2020","43010499","CFA Pau Casals","1","Públic","01","Departament d'Educació","Trav. Comella Moro, 15 (CP Mas Enric)","43764","977240142","0143","Tarragona","36","Tarragonès","43043","430430","El Catllar","00",,"01","El Catllar","274114.435","4537371.421","0.316045911","40.956265250","e3010499@xtec.cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ADULTS","POINT (316045911 40956265250)"
"2020/2021","2020","43011261","Llar d'infants L'Agulla del Catllar","1","Públic","04","Corporacions Locals","c. de França, s/n","43764",,"0143","Tarragona","36","Tarragonès","43043","430430","El Catllar","00",,"01","El Catllar","348338.698","4553524.531","1.193479701","41.118861266","e3011261@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1193479701 41118861266)"
"2020/2021","2020","43012745","Jigsaw British School","2","Privat","26","Societats Mercantils","c. del Mas de la Creu, 4","43764",,"0143","Tarragona","36","Tarragonès","43043","430430","El Catllar","00",,"01","El Catllar","353311.259","4553414.211","1.252710141","41.118781372","e3012745@xtec.cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ESTR",,"POINT (1252710141 41118781372)"
"2020/2021","2020","43012812","Institut Escola L'Agulla","1","Públic","01","Departament d'Educació","av. Catalunya, 3","43764",,"0143","Tarragona","36","Tarragonès","43043","430430","El Catllar","00",,"01","El Catllar","359895.841","4559564.265","1.329705061","41.175320227","e3012812@xtec.cat","http://www.escolalagulla.com",,,"EINF2C","EPRI","ESO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1329705061 41175320227)"
"2020/2021","2020","43000895","Escola Mossèn Ramon Bergadà","1","Públic","01","Departament d'Educació","c. Jaume I, s/n","43120","977521790","0143","Tarragona","36","Tarragonès","43047","430477","Constantí","00",,"01","Constantí","340128.568","4558605.868","1.094410565","41.163034028","e3000895@xtec.cat","http://agora.xtec.cat/ceipramonbergada",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1094410565 41163034028)"
"2020/2021","2020","43000949","Escola agrària Mas Bové","1","Públic","02","Altres Departaments","Mas Bové,ct.Reus-Morell km.4(ap.cor.527)","43120","977343289","0143","Tarragona","36","Tarragonès","43047","430477","Constantí","00",,"01","Constantí","340380.951","4557622.374","1.097673386","41.154229334","e3000949@xtec.cat",,,,,,,,,"CFPM",,,"CFPS",,,,,,,,,,,,,,,,,,,,,,,,"POINT (1097673386 41154229334)"
