municipality_code,municipality,reference_point,period,month_number,month,mean_temperature_c,mean_precipitation_mm,annual_mean_temperature_c,annual_precipitation_mm,source,source_updated,source_url,license_url
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,1,Gener,10.3,35.6,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,2,Febrer,11.2,27.5,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,3,Març,13.5,43.5,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,4,Abril,15.6,46.6,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,5,Maig,18.9,46.9,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,6,Juny,23.0,23.5,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,7,Juliol,25.4,14.3,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,8,Agost,25.7,40.2,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,9,Setembre,22.4,78.4,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,10,Octubre,18.4,78.4,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,11,Novembre,13.7,54.0,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
431711,Vila-seca,Cap de municipi de Vila-seca,1991-2020,12,Desembre,10.8,42.2,17.4,531.2,"Servei Meteorològic de Catalunya, Atles Climàtic de mitjanes per municipi",2026-06-15,https://analisi.transparenciacatalunya.cat/Medi-Ambient/Atles-Clim-tic-de-mitjanes-per-municipi/9ehv-pmf5/about_data,https://gencat.cat/ca/generalitat/dades-indicadors/dades-obertes/llicencies
