year,municipality_code,municipality,age_code,age_label,age_years,sex,population,source_url
2021,431711,Vila-seca,Y000,0 anys,0,M,103,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y000,0 anys,0,F,98,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y001,1 any,1,M,113,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y001,1 any,1,F,87,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y002,2 anys,2,M,125,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y002,2 anys,2,F,116,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y003,3 anys,3,M,127,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y003,3 anys,3,F,124,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y004,4 anys,4,M,133,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y004,4 anys,4,F,134,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y005,5 anys,5,M,138,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y005,5 anys,5,F,159,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y006,6 anys,6,M,183,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y006,6 anys,6,F,150.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
