Habitatges. Per tipus d'habitatge
Municipis. 2021
Font: Idescat, a partir del Cens de població i habitatges de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censph&n=30&geo=mun&lang=ca
Codi;Nom;Habitatges familiars convencionals principals;Habitatges familiars convencionals no principals;Habitatges familiars convencionals;Habitatges familiars no convencionals (allotjaments);Total habitatges familiars;Establiments col·lectius
250019;Abella de la Conca;65;52;117;0;117;0
080018;Abrera;4643;623;5266;0;5266;5
250024;Àger;239;453;692;0;692;1
250030;Agramunt;2049;696;2745;0;2745;1
080023;Aguilar de Segarra;99;52;151;0;151;0
170010;Agullana;350;239;589;0;589;0
080142;Aiguafreda;1013;285;1298;0;1298;3
430017;Aiguamúrcia;404;472;876;0;876;0
170025;Aiguaviva;243;55;298;0;298;0
250387;Aitona;834;384;1218;0;1218;2
250045;Alamús, els;293;179;472;0;472;1
250058;Alàs i Cerc;142;163;305;0;305;0
250061;Albagés, l';136;115;251;0;251;0
170031;Albanyà;65;77;142;0;142;0
250077;Albatàrrec;749;160;909;0;909;1
250083;Albesa;559;218;777;0;777;0
250096;Albi, l';292;225;517;0;517;0
430022;Albinyana;948;638;1586;0;1586;0
430038;Albiol, l';180;92;272;0;272;0
170046;Albons;301;250;551;0;551;0
430043;Alcanar;3808;4781;8589;0;8589;2
250100;Alcanó;91;51;142;0;142;0
250117;Alcarràs;3717;1073;4790;0;4790;1
250122;Alcoletge;1260;411;1671;0;1671;4
430056;Alcover;1925;808;2733;0;2733;1
439044;Aldea, l';1634;926;2560;0;2560;1
430069;Aldover;350;291;641;0;641;0
430075;Aleixar, l';347;313;660;0;660;0
080039;Alella;3419;539;3958;0;3958;5
430081;Alfara de Carles;164;308;472;0;472;0
250138;Alfarràs;1085;517;1602;0;1602;1
250143;Alfés;125;80;205;0;205;0
430094;Alforja;745;497;1242;0;1242;1
250156;Algerri;177;108;285;0;285;0
250169;Alguaire;1103;509;1612;0;1612;0
250175;Alins;118;174;292;0;292;0
430108;Alió;168;94;262;0;262;0
250194;Almacelles;2553;946;3499;0;3499;6
250208;Almatret;141;196;337;0;337;0
250215;Almenar;1253;634;1887;0;1887;1
430115;Almoster;472;161;633;0;633;0
250220;Alòs de Balaguer;58;98;156;0;156;0
170062;Alp;711;2707;3418;0;3418;1
080044;Alpens;117;124;241;0;241;0
250236;Alpicat;2179;486;2665;0;2665;4
250241;Alt Àneu;183;592;775;0;775;0
430120;Altafulla;2162;2689;4851;0;4851;1
170078;Amer;912;473;1385;0;1385;0
430136;Ametlla de Mar, l';3048;5238;8286;0;8286;2
080057;Ametlla del Vallès, l';2975;633;3608;0;3608;4
439060;Ampolla, l';1579;3456;5035;0;5035;0
430141;Amposta;8225;3647;11872;0;11872;9
170084;Anglès;2101;636;2737;0;2737;0
250273;Anglesola;524;179;703;0;703;1
250292;Arbeca;856;708;1564;0;1564;0
430167;Arboç, l';2054;377;2431;0;2431;1
430154;Arbolí;55;61;116;0;116;0
170097;Arbúcies;2389;943;3332;0;3332;2
080060;Arenys de Mar;6292;2121;8413;0;8413;13
080076;Arenys de Munt;3497;942;4439;0;4439;2
170101;Argelaguer;171;80;251;0;251;0
080082;Argençola;93;76;169;0;169;0
430173;Argentera, l';61;79;140;0;140;0
080095;Argentona;4514;709;5223;0;5223;5
170118;Armentera, l';395;333;728;0;728;1
430189;Arnes;183;321;504;0;504;0
250313;Arres;29;58;87;0;87;0
250328;Arsèguel;37;56;93;0;93;0
080109;Artés;2207;448;2655;0;2655;2
250334;Artesa de Lleida;551;121;672;0;672;0
250349;Artesa de Segre;1388;896;2284;0;2284;2
430192;Ascó;659;270;929;0;929;1
250365;Aspa;96;71;167;0;167;0
250371;Avellanes i Santa Linya, les;179;213;392;0;392;0
080116;Avià;824;283;1107;0;1107;0
080121;Avinyó;869;244;1113;0;1113;1
170123;Avinyonet de Puigventós;535;90;625;0;625;0
080137;Avinyonet del Penedès;655;243;898;0;898;1
080155;Badalona;83337;8578;91915;0;91915;39
089045;Badia del Vallès;5178;269;5447;0;5447;0
080168;Bagà;909;787;1696;0;1696;1
250390;Baix Pallars;156;264;420;0;420;0
250404;Balaguer;6484;2371;8855;0;8855;6
080174;Balenyà;1446;284;1730;0;1730;2
080180;Balsareny;1301;409;1710;0;1710;2
430206;Banyeres del Penedès;1223;400;1623;0;1623;0
170157;Banyoles;7325;1739;9064;0;9064;20
250411;Barbens;333;58;391;0;391;2
430213;Barberà de la Conca;204;238;442;0;442;1
082520;Barberà del Vallès;12153;1615;13768;0;13768;7
080193;Barcelona;671177;137574;808751;0;808751;1643
250426;Baronia de Rialb, la;88;56;144;0;144;0
170160;Bàscara;382;167;549;0;549;0
250447;Bassella;82;35;117;0;117;0
430228;Batea;691;415;1106;0;1106;1
250450;Bausen;35;53;88;0;88;0
080207;Begues;2486;449;2935;0;2935;2
170139;Begur;1650;3970;5620;0;5620;0
250463;Belianes;219;212;431;0;431;0
251706;Bellaguarda;112;95;207;0;207;0
170182;Bellcaire d'Empordà;280;231;511;0;511;0
250479;Bellcaire d'Urgell;487;220;707;0;707;0
250485;Bell-lloc d'Urgell;837;249;1086;0;1086;1
250498;Bellmunt d'Urgell;67;61;128;0;128;0
430234;Bellmunt del Priorat;131;194;325;0;325;0
080214;Bellprat;37;35;72;0;72;0
250501;Bellpuig;1877;764;2641;0;2641;3
430249;Bellvei;861;482;1343;0;1343;0
250518;Bellver de Cerdanya;979;1525;2504;0;2504;0
250523;Bellvís;860;384;1244;0;1244;1
250539;Benavent de Segrià;539;94;633;0;633;1
430252;Benifallet;297;208;505;0;505;0
430265;Benissanet;438;215;653;0;653;0
080229;Berga;6831;2179;9010;0;9010;8
170195;Besalú;971;250;1221;0;1221;1
170209;Bescanó;1769;381;2150;0;2150;1
170216;Beuda;69;53;122;0;122;0
080235;Bigues i Riells del Fai;3452;965;4417;0;4417;1
250557;Biosca;78;78;156;0;156;0
170221;Bisbal d'Empordà, la;4180;922;5102;0;5102;2
430271;Bisbal de Montsant, la;95;101;196;0;196;0
430287;Bisbal del Penedès, la;1561;1392;2953;0;2953;0
172348;Biure;96;66;162;0;162;0
430290;Blancafort;171;165;336;0;336;0
170237;Blanes;16290;9299;25589;0;25589;10
170293;Boadella i les Escaules;104;109;213;0;213;0
170242;Bolvir;197;690;887;0;887;0
430304;Bonastre;312;267;579;0;579;0
250576;Bòrdes, Es;121;181;302;0;302;0
170255;Bordils;630;112;742;0;742;0
250582;Borges Blanques, les;2438;849;3287;0;3287;1
430311;Borges del Camp, les;778;340;1118;0;1118;1
170268;Borrassà;263;68;331;0;331;0
080240;Borredà;178;214;392;0;392;1
250595;Bossòst;443;323;766;0;766;1
430326;Bot;239;237;476;0;476;0
430332;Botarell;405;185;590;0;590;0
250560;Bovera;111;114;225;0;225;0
430347;Bràfim;259;132;391;0;391;0
170274;Breda;1491;336;1827;0;1827;0
080253;Bruc, el;856;350;1206;0;1206;0
