Indicadors geogràfics. Superfície, densitat i entitats de població
Municipis. 2025
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=396&geo=mun&lang=ca
Codi;Nom;Superfície (km²);Densitat (hab./km²);Entitats singulars població (nombre)
250019;Abella de la Conca;78,27;2,1;5
080018;Abrera;19,94;662,3;2
250024;Àger;160,57;4,0;9
250030;Agramunt;79,65;70,8;6
080023;Aguilar de Segarra;43,32;6,8;3
170010;Agullana;27,73;31,8;2
080142;Aiguafreda;7,90;325,2;1
430017;Aiguamúrcia;72,95;13,7;9
170025;Aiguaviva;13,91;57,9;8
250387;Aitona;66,90;38,5;3
250045;Alamús, els;20,53;40,8;3
250058;Alàs i Cerc;57,67;5,5;7
250061;Albagés, l';25,70;13,2;1
170031;Albanyà;94,39;1,7;10
250077;Albatàrrec;10,46;221,0;1
250083;Albesa;37,61;42,1;2
250096;Albi, l';32,54;23,5;1
430022;Albinyana;19,37;140,3;7
430038;Albiol, l';20,34;27,3;3
170046;Albons;11,13;76,5;1
430043;Alcanar;47,07;213,5;4
250100;Alcanó;21,03;11,7;1
250117;Alcarràs;114,29;92,4;5
250122;Alcoletge;16,70;220,3;1
430056;Alcover;46,00;116,5;11
439044;Aldea, l';35,21;134,2;1
430069;Aldover;20,20;45,0;1
430075;Aleixar, l';26,10;39,3;1
080039;Alella;9,58;1070,0;1
430081;Alfara de Carles;63,87;5,6;1
250138;Alfarràs;11,40;244,7;1
250143;Alfés;31,94;8,9;1
430094;Alforja;38,24;53,1;7
250156;Algerri;54,32;7,8;1
250169;Alguaire;50,11;61,0;2
250175;Alins;183,19;1,5;7
430108;Alió;7,25;68,8;1
250194;Almacelles;49,03;146,8;3
250208;Almatret;56,83;5,1;1
250215;Almenar;66,59;50,4;2
430115;Almoster;5,96;232,0;4
250220;Alòs de Balaguer;69,08;1,7;1
170062;Alp;44,29;38,9;3
080044;Alpens;13,80;19,3;1
250236;Alpicat;15,33;427,7;1
250241;Alt Àneu;217,76;2,1;9
430120;Altafulla;6,95;842,6;2
170078;Amer;40,08;60,4;10
430136;Ametlla de Mar, l';66,86;111,2;1
080057;Ametlla del Vallès, l';14,24;665,2;8
439060;Ampolla, l';35,65;106,8;1
430141;Amposta;138,31;166,6;5
170084;Anglès;16,31;362,0;6
250273;Anglesola;23,53;59,3;1
250292;Arbeca;58,34;37,1;1
430167;Arboç, l';14,13;403,5;4
430154;Arbolí;20,78;6,6;1
170097;Arbúcies;86,22;77,0;7
080060;Arenys de Mar;6,75;2515,9;1
080076;Arenys de Munt;21,29;447,5;17
170101;Argelaguer;12,54;37,2;6
080082;Argençola;47,09;5,2;7
430173;Argentera, l';10,12;13,7;2
080095;Argentona;25,40;507,5;13
170118;Armentera, l';5,60;192,1;1
430189;Arnes;42,97;10,7;1
250313;Arres;11,57;5,0;3
250328;Arsèguel;10,59;8,0;2
080109;Artés;17,87;347,6;2
250334;Artesa de Lleida;23,94;64,5;1
250349;Artesa de Segre;175,90;20,4;22
430192;Ascó;73,63;21,6;1
250365;Aspa;10,21;22,7;1
250371;Avellanes i Santa Linya, les;102,96;4,2;4
080116;Avià;27,23;83,1;7
080121;Avinyó;63,23;36,8;4
170123;Avinyonet de Puigventós;12,30;135,7;3
080137;Avinyonet del Penedès;29,13;61,3;9
080155;Badalona;21,18;10889,6;1
089045;Badia del Vallès;0,93;14040,9;1
080168;Bagà;43,13;50,2;1
250390;Baix Pallars;129,41;2,7;28
250404;Balaguer;57,32;308,2;1
080174;Balenyà;17,35;231,0;2
080180;Balsareny;36,91;90,9;5
430206;Banyeres del Penedès;12,19;278,3;6
170157;Banyoles;11,05;1890,2;7
250411;Barbens;7,56;120,4;3
430213;Barberà de la Conca;26,60;18,3;2
082520;Barberà del Vallès;8,31;4095,2;2
080193;Barcelona;101,35;16904,3;1
250426;Baronia de Rialb, la;145,08;1,5;11
170160;Bàscara;17,50;59,9;4
250447;Bassella;70,25;3,1;9
430228;Batea;128,41;14,6;1
250450;Bausen;17,72;3,5;3
080207;Begues;50,44;149,6;3
170139;Begur;20,66;207,5;8
250463;Belianes;15,69;32,6;1
251706;Bellaguarda;17,14;16,7;1
170182;Bellcaire d'Empordà;12,64;57,1;1
250479;Bellcaire d'Urgell;31,38;40,5;2
250485;Bell-lloc d'Urgell;34,92;67,6;1
250498;Bellmunt d'Urgell;5,11;34,1;1
430234;Bellmunt del Priorat;8,86;32,5;1
080214;Bellprat;30,97;2,2;1
250501;Bellpuig;34,98;158,1;2
430249;Bellvei;8,27;297,9;1
250518;Bellver de Cerdanya;98,15;23,3;20
250523;Bellvís;46,70;47,9;2
250539;Benavent de Segrià;7,43;210,6;1
430252;Benifallet;62,42;11,3;1
430265;Benissanet;23,06;51,6;1
080229;Berga;22,57;777,1;3
170195;Besalú;4,93;525,6;1
170209;Bescanó;35,92;141,6;4
170216;Beuda;35,91;5,6;4
080235;Bigues i Riells del Fai;28,64;353,5;17
250557;Biosca;66,21;2,8;2
170221;Bisbal d'Empordà, la;20,62;568,9;3
430271;Bisbal de Montsant, la;14,14;15,1;1
430287;Bisbal del Penedès, la;32,54;131,2;9
172348;Biure;10,02;22,7;1
430290;Blancafort;14,48;27,1;1
170237;Blanes;17,66;2403,5;1
170293;Boadella i les Escaules;10,78;24,5;2
170242;Bolvir;10,34;47,7;9
430304;Bonastre;24,97;31,2;3
250576;Bòrdes, Es;21,44;13,1;4
170255;Bordils;7,32;249,2;1
250582;Borges Blanques, les;61,55;104,9;1
430311;Borges del Camp, les;8,24;280,7;1
170268;Borrassà;9,45;84,9;3
080240;Borredà;43,45;10,0;1
250595;Bossòst;28,17;41,8;1
430326;Bot;34,94;15,6;1
430332;Botarell;11,95;96,7;2
250560;Bovera;31,12;8,1;1
430347;Bràfim;6,42;109,8;1
170274;Breda;5,02;789,6;3
080253;Bruc, el;47,20;48,6;4
080266;Brull, el;41,03;7,2;3
170280;Brunyola i Sant Martí Sapresa;36,82;10,8;2
430350;Cabacés;31,27;9,4;1
250609;Cabanabona;14,16;4,9;2
170314;Cabanelles;55,58;5,1;6
170307;Cabanes;15,02;66,4;5
080272;Cabanyes, les;1,15;925,2;1
250616;Cabó;80,33;1,1;3
430363;Cabra del Camp;26,95;51,5;4
080288;Cabrera d'Anoia;17,00;104,5;14
080291;Cabrera de Mar;8,98;562,7;1
080305;Cabrils;7,05;1100,0;1
170329;Cadaqués;26,43;110,0;1
080312;Calaf;9,22;393,4;2
430379;Calafell;20,38;1591,2;5
080348;Calders;33,09;33,9;2
080327;Caldes d'Estrac;0,88;3804,5;1
170335;Caldes de Malavella;57,33;150,8;15
080333;Caldes de Montbui;37,45;495,4;4
080351;Calella;8,00;2596,9;6
080370;Calldetenes;5,80;469,7;2
080386;Callús;12,50;175,4;6
080364;Calonge de Segarra;37,15;4,8;6
170340;Calonge i Sant Antoni;33,57;365,4;5
250621;Camarasa;157,13;5,1;7
439039;Camarles;25,16;139,1;3
430385;Cambrils;35,21;1052,8;6
170353;Camós;15,66;44,7;2
170366;Campdevànol;32,62;99,3;8
170372;Campelles;18,64;8,7;2
080399;Campins;7,29;80,7;1
170388;Campllong;8,59;62,2;7
170391;Camprodon;103,38;24,8;11
250637;Canejan;48,32;2,0;9
170405;Canet d'Adri;44,41;16,7;6
080403;Canet de Mar;5,56;2732,2;1
439076;Canonja, la;7,32;818,7;1
080410;Canovelles;6,66;2619,4;13
080425;Cànoves i Samalús;29,19;116,2;8
170412;Cantallops;19,62;18,7;1
080431;Canyelles;14,23;386,1;1
430398;Capafonts;13,35;7,6;1
430402;Capçanes;22,49;19,8;1
080446;Capellades;2,94;1904,1;1
170427;Capmany;26,40;25,6;5
080459;Capolat;34,13;2,7;5
080462;Cardedeu;12,10;1574,4;1
080478;Cardona;66,70;68,1;2
080484;Carme;11,68;73,6;3
430419;Caseres;42,90;5,8;1
170448;Cassà de la Selva;45,21;247,0;11
080497;Casserres;29,46;56,5;3
170486;Castell d'Aro, Platja d'Aro i s'Agaró;21,74;592,9;3
080575;Castell de l'Areny;24,35;2,8;1
259046;Castell de Mur;62,42;2,5;8
250642;Castellar de la Ribera;60,19;2,2;4
080522;Castellar de n'Hug;47,12;3,5;1
080500;Castellar del Riu;32,74;4,6;4
080517;Castellar del Vallès;44,91;565,5;8
080538;Castellbell i el Vilar;28,47;146,2;19
080543;Castellbisbal;31,03;420,8;18
080556;Castellcir;34,18;23,5;4
250674;Castelldans;65,10;14,7;1
080569;Castelldefels;12,87;5414,8;1
080581;Castellet i la Gornal;47,48;58,4;12
170464;Castellfollit de la Roca;0,73;1315,1;1
080608;Castellfollit de Riubregós;26,21;5,8;1
080594;Castellfollit del Boix;58,90;8,0;6
080615;Castellgalí;17,21;140,1;8
080620;Castellnou de Bages;29,16;50,4;5
250680;Castellnou de Seana;16,11;45,5;1
170470;Castelló d'Empúries;42,30;290,2;2
250693;Castelló de Farfanya;52,62;10,4;1
080636;Castellolí;25,28;26,5;3
250707;Castellserà;15,84;62,3;1
080641;Castellterçol;31,90;86,0;1
430424;Castellvell del Camp;5,21;576,0;11
080654;Castellví de la Marca;28,40;60,5;15
080667;Castellví de Rosanes;16,38;132,2;6
430430;Catllar, el;26,43;203,8;25
250714;Cava;42,19;0,9;3
171899;Cellera de Ter, la;14,63;139,0;4
170499;Celrà;19,53;287,4;12
080673;Centelles;15,18;517,8;1
082687;Cercs;47,35;26,1;5
082665;Cerdanyola del Vallès;30,56;1906,5;2
080689;Cervelló;24,10;403,6;16
250729;Cervera;55,19;174,5;6
250735;Cervià de les Garrigues;34,20;18,6;1
170502;Cervià de Ter;9,90;104,0;2
170519;Cistella;25,55;11,2;5
250740;Ciutadilla;17,03;10,9;1
